Nome,Cognome,Nazionalit√†,R,Squadra,Quotazioni,Anno di nascita,Mv,Fm,Partite a voto,Gf,Gs,Rigori parati,Rigori calciati,Rigori segnati,Assist,Ammonizioni,Espulsioni,Autogol
,Musah,,CEN,Milan,"4,0",,"5,92","5,86",25,0,0,0,0,0,1,5,0,0
,Urbanski,,CEN,Bologna,"4,0",,"5,92","5,83",18,0,0,0,0,0,0,3,0,0
,Maleh,,CEN,Empoli,"4,0",,"5,79","5,66",34,0,0,0,0,0,1,11,0,0
,Hongla,,CEN,Verona,"4,0",,"5,82","5,82",14,0,0,0,0,0,0,0,0,0
,Coulibaly L.,,CEN,Salernitana,"4,0",,"5,72","5,65",27,0,0,0,0,0,0,5,0,0
,Zerbin,,CEN,Monza,"4,0",,"5,78","5,78",16,0,0,0,0,0,1,0,1,0
,Barrenechea,,CEN,Frosinone,"4,0",,"5,84","5,73",35,0,0,0,0,0,1,10,0,0
,Rafia,,CEN,Lecce,"4,0",,"5,92","5,88",24,1,0,0,0,0,0,4,0,1
,Ramadani,,CEN,Lecce,"4,0",,"5,82","5,72",34,1,0,0,0,0,0,13,0,0
,Tchatchoua,,CEN,Verona,"4,0",,"5,76","5,76",25,0,0,0,0,0,1,2,0,0
,Grassi,,CEN,Empoli,"4,0",,"5,92","5,77",26,0,0,0,0,0,1,4,1,1
,Aramu,,CEN,Genoa,"3,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Renato Sanches,,CEN,Roma,"3,0",,"5,8","6,2",5,1,0,0,0,0,0,2,0,0
,Fagioli,,CEN,Juventus,"3,0",,"6,06","6,25",8,0,0,0,0,0,2,1,0,0
,Akpa Akpro,,CEN,Monza,"3,0",,"5,82","5,64",14,0,0,0,0,0,0,5,0,0
,Zalewski,,CEN,Roma,"3,0",,"5,8","5,77",22,0,0,0,0,0,1,1,1,0
,Miretti,,CEN,Juventus,"3,0",,"5,78","5,9",20,1,0,0,0,0,1,3,0,0
,Marcos Antonio,,CEN,Lazio,"3,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Ciurria,,CEN,Monza,"3,0",,"5,86","5,86",22,0,0,0,0,0,1,2,0,0
,Ranocchia F.,,CEN,Empoli,"3,0",,"5,89","5,72",9,0,0,0,0,0,0,3,0,0
,Mboula,,CEN,Verona,"2,0",,"5,71","5,86",7,0,0,0,0,0,1,0,0,0
,Makoumbou,,CEN,Cagliari,"2,0",,"5,62","5,61",32,1,0,0,0,0,0,3,2,0
,Gelli,,CEN,Frosinone,"2,0",,"5,85","5,78",20,0,0,0,0,0,0,3,0,0
,Cajuste,,CEN,Napoli,"2,0",,"5,8","5,68",22,0,0,0,0,0,1,7,0,0
,Legowski,,CEN,Salernitana,"2,0",,"5,72","5,65",23,0,0,0,0,0,0,3,0,0
,Kutlu,,CEN,Genoa,"2,0",,6,6,6,0,0,0,0,0,0,0,0,0
,Ibrahimovic A.,,CEN,Frosinone,"2,0",,"6,06","6,5",8,1,0,0,0,0,1,1,0,0
,Dani Silva,,CEN,Verona,"2,0",,"5,83","5,72",9,0,0,0,0,0,0,2,0,0
,Krunic,,CEN,Milan,"2,0",,"5,89","5,72",9,0,0,0,0,0,0,3,0,0
,Sensi,,CEN,Inter,"2,0",,"6,5","6,5",1,0,0,0,0,0,0,0,0,0
,Haas,,CEN,Empoli,"1,0",,"5,5",5,1,0,0,0,0,0,0,1,0,0
,Klaassen,,CEN,Inter,"1,0",,6,6,6,0,0,0,0,0,0,1,0,0
,Henderson L.,,CEN,Empoli,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Lopez M.,,CEN,Fiorentina,"1,0",,"5,75","5,66",16,0,0,0,0,0,0,1,1,0
,Kourfalidis,,CEN,Cagliari,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Bohinen,,CEN,Genoa,"1,0",,"5,86","5,82",14,0,0,0,0,0,0,1,0,0
,Vignato S.,,CEN,Monza,"1,0",,6,"6,25",8,1,0,0,0,0,0,2,0,0
,Lindstrom,,CEN,Napoli,"1,0",,"5,91","5,84",16,0,0,0,0,0,0,2,0,0
,Gineitis,,CEN,Torino,"1,0",,"6,05","5,95",10,0,0,0,0,0,0,2,0,0
,Lipani,,CEN,Sassuolo,"1,0",,6,6,7,0,0,0,0,0,0,0,0,0
,Kaba,,CEN,Lecce,"1,0",,"5,82","5,73",22,0,0,0,0,0,0,2,1,0
,Martegani,,CEN,Salernitana,"1,0",,"5,83",6,15,1,0,0,0,0,0,1,0,0
,Lulic K.,,CEN,Frosinone,"1,0",,6,6,1,0,0,0,0,0,0,0,0,0
,Baez,,CEN,Frosinone,"1,0",,6,"6,25",10,1,0,0,0,0,0,1,0,0
,Coulibaly M.,,CEN,Salernitana,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Valoti,,CEN,Monza,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Dendoncker,,CEN,Napoli,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Nicolussi Caviglia,,CEN,Juventus,"1,0",,"5,92",6,6,0,0,0,0,0,1,1,0,0
,Obiang,,CEN,Sassuolo,"1,0",,"5,57","5,5",7,0,0,0,0,0,0,1,0,0
,Adopo,,CEN,Atalanta,"1,0",,"5,75",6,4,0,0,0,0,0,1,0,0,0
,Basic,,CEN,Salernitana,"1,0",,"5,54","5,36",14,0,0,0,0,0,0,5,0,0
,Belahyane,,CEN,Verona,"1,0",,"6,25","6,25",2,0,0,0,0,0,0,0,0,0
,Amatucci,,CEN,Fiorentina,"1,0",,"5,5","5,5",1,0,0,0,0,0,0,0,0,0
,Infantino,,CEN,Fiorentina,"1,0",,"5,83","5,67",3,0,0,0,0,0,0,1,0,0
,Pagano,,CEN,Roma,"1,0",,6,6,2,0,0,0,0,0,0,0,0,0
,Gomis I.,,CEN,Salernitana,"1,0",,"5,7","5,7",5,0,0,0,0,0,0,0,0,0
,D'Alessandro,,CEN,Monza,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Gomez,,CEN,Monza,"1,0",,"6,25","6,25",2,0,0,0,0,0,0,0,0,0
,Mancosu,,CEN,Cagliari,"1,0",,"5,33","4,33",3,0,0,0,1,0,0,0,0,0
,Pogba,,CEN,Juventus,"1,0",,6,6,2,0,0,0,0,0,0,0,0,0
,Benassi,,CEN,Fiorentina,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Machin,,CEN,Monza,"1,0",,"5,94","5,81",8,0,0,0,0,0,0,2,0,0
,Rog,,CEN,Cagliari,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Melegoni,,CEN,Genoa,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Garritano,,CEN,Frosinone,"1,0",,"5,9","5,85",10,0,0,0,0,0,0,1,0,0
,Crociata,,CEN,Empoli,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Castillejo,,CEN,Sassuolo,"1,0",,"5,77","5,68",11,0,0,0,0,0,0,2,0,0
,Bourabia,,CEN,Frosinone,"1,0",,"5,5","5,4",5,0,0,0,0,0,0,1,0,0
,Jagiello,,CEN,Genoa,"1,0",,5,5,1,0,0,0,0,0,0,0,0,0
,Demme,,CEN,Napoli,"1,0",,"6,25","6,5",2,0,0,0,0,0,1,1,0,0
,Quina,,CEN,Udinese,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Pobega,,CEN,Milan,"1,0",,"5,93","5,93",7,0,0,0,0,0,0,0,0,0
,Romero L.,,CEN,Milan,"1,0",,6,"5,75",2,0,0,0,0,0,0,1,0,0
,Pyyhtia,,CEN,Bologna,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Pafundi,,CEN,Udinese,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Helgason,,CEN,Lecce,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Hrustic,,CEN,Verona,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Ilkhan,,CEN,Torino,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Degli Innocenti,,CEN,Empoli,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Faticanti,,CEN,Lecce,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Pisilli,,CEN,Roma,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Belardinelli,,CEN,Empoli,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Camara E.,,CEN,Udinese,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Lella,,CEN,Cagliari,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Haoudi,,CEN,Frosinone,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Saco,,CEN,Napoli,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Joselito,,CEN,Verona,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Nonge,,CEN,Juventus,"1,0",,5,"4,5",1,0,0,0,0,0,0,1,0,0
,Popovic,,CEN,Monza,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Martinez L.,,ATT,Inter,"41,0",,"6,65","8,73",33,24,0,0,3,2,2,5,0,0
,Dybala,,ATT,Roma,"35,0",,"6,48","8,2",27,13,0,0,7,7,9,3,0,0
,Scamacca,,ATT,Atalanta,"32,0",,"6,41","7,89",28,12,0,0,0,0,6,1,0,0
,Giroud,,ATT,Milan,"31,0",,"6,26","7,71",34,15,0,0,5,4,8,0,1,0
,Osimhen,,ATT,Napoli,"31,0",,"6,36","7,88",25,15,0,0,5,3,2,4,1,0
,Thuram,,ATT,Inter,"31,0",,"6,54","7,81",35,13,0,0,0,0,7,3,0,0
,Lookman,,ATT,Atalanta,"27,0",,"6,37","7,63",30,11,0,0,0,0,7,4,0,0
,Vlahovic,,ATT,Juventus,"27,0",,"6,18","7,42",33,16,0,0,4,2,3,6,1,0
,Rafael Leao,,ATT,Milan,"27,0",,"6,39","7,41",33,9,0,0,0,0,9,5,0,0
,Zapata D.,,ATT,Torino,"26,0",,"6,26","7,36",37,13,0,0,0,0,3,2,0,0
,Gonzalez N.,,ATT,Fiorentina,"26,0",,"6,31","7,4",29,12,0,0,3,1,2,1,0,0
,Zirkzee,,ATT,Bologna,"25,0",,"6,43","7,4",34,11,0,0,2,2,4,8,0,0
,Chiesa,,ATT,Juventus,"25,0",,"6,28","7,17",32,9,0,0,1,1,2,1,0,0
,Kvaratskhelia,,ATT,Napoli,"24,0",,"6,25","7,25",34,11,0,0,0,0,5,8,0,0
,Berardi,,ATT,Sassuolo,"24,0",,"6,53","8,06",17,9,0,0,5,5,2,6,0,0
,Soule',,ATT,Frosinone,"24,0",,"6,29","7,07",36,11,0,0,6,5,2,4,0,1
,Lukaku,,ATT,Roma,"23,0",,"6,09","7,2",32,13,0,0,1,0,3,5,1,0
,Cabral,,ATT,Fiorentina,"21,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Okafor,,ATT,Milan,"20,0",,"6,21","7,02",24,6,0,0,0,0,2,1,0,0
,Beto,,ATT,Udinese,"19,0",,"5,5","5,5",1,0,0,0,0,0,0,0,0,0
,Retegui,,ATT,Genoa,"19,0",,"6,09","6,79",29,7,0,0,1,1,2,5,0,0
,Belotti,,ATT,Fiorentina,"19,0",,"6,21","7,1",24,6,0,0,0,0,4,1,0,0
,Pinamonti,,ATT,Sassuolo,"18,0",,"5,92","6,7",37,11,0,0,3,2,1,4,0,0
,Ngonge,,ATT,Napoli,"18,0",,"6,14","6,86",28,7,0,0,0,0,2,6,0,0
,Lucca,,ATT,Udinese,"18,0",,"6,04","6,75",34,8,0,0,0,0,3,6,0,0
,Luvumbo,,ATT,Cagliari,"18,0",,"6,27","6,75",30,4,0,0,0,0,5,5,0,0
,Djuric,,ATT,Monza,"17,0",,"6,08","6,67",36,9,0,0,3,1,2,4,0,0
,Beltran L.,,ATT,Fiorentina,"16,0",,"6,12","6,65",30,6,0,0,1,1,1,6,0,0
,Cheddira,,ATT,Frosinone,"16,0",,"6,05","6,76",31,7,0,0,1,1,1,0,0,0
,Immobile,,ATT,Lazio,"16,0",,"5,91","6,59",28,7,0,0,4,4,1,8,0,0
,Thauvin,,ATT,Udinese,"15,0",,"6,2","6,84",25,5,0,0,1,1,3,4,0,0
,Sanchez,,ATT,Inter,"14,0",,"6,18","6,76",19,2,0,0,1,1,5,0,0,0
,Arnautovic,,ATT,Inter,"14,0",,"6,15","6,9",24,5,0,0,0,0,3,0,0,0
,Lauriente',,ATT,Sassuolo,"14,0",,"5,99","6,46",37,5,0,0,0,0,5,5,0,0
,Muriel,,ATT,Atalanta,"14,0",,"6,15","6,69",13,2,0,0,0,0,1,0,0,0
,Piccoli,,ATT,Lecce,"14,0",,"6,02","6,41",32,5,0,0,1,1,0,5,0,0
,Raspadori,,ATT,Napoli,"13,0",,"5,98","6,44",33,5,0,0,1,0,3,0,0,0
,Ekuban,,ATT,Genoa,"13,0",,"6,09","6,65",23,4,0,0,0,0,1,0,0,0
,Azmoun,,ATT,Roma,"13,0",,"6,23","6,77",15,3,0,0,0,0,0,4,0,0
,Noslin,,ATT,Verona,"13,0",,"6,35","7,41",17,5,0,0,0,0,4,2,0,0
,Niang,,ATT,Empoli,"13,0",,"6,36","7,68",14,6,0,0,4,4,1,1,0,0
,Jovic,,ATT,Milan,"13,0",,"5,89","6,79",19,6,0,0,0,0,1,2,1,0
,Barrow,,ATT,Bologna,"13,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Cambiaghi,,ATT,Empoli,"12,0",,"6,14","6,2",37,1,0,0,0,0,1,3,0,0
,Dia,,ATT,Salernitana,"12,0",,"5,85","6,53",17,4,0,0,1,1,0,1,0,0
,Ceesay,,ATT,Lecce,"12,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Mota,,ATT,Monza,"12,0",,6,"6,41",33,4,0,0,0,0,3,3,0,0
,Vitinha O.,,ATT,Genoa,"12,0",,"6,42","7,33",6,2,0,0,0,0,0,2,0,0
,Castellanos,,ATT,Lazio,"12,0",,"5,87","6,32",31,4,0,0,0,0,3,2,0,0
,Sanabria,,ATT,Torino,"12,0",,"5,84","6,24",35,5,0,0,2,2,0,2,0,0
,Milik,,ATT,Juventus,"12,0",,6,"6,46",24,4,0,0,0,0,1,2,1,0
,Shomurodov,,ATT,Cagliari,"12,0",,"5,85","6,42",20,3,0,0,0,0,3,1,0,0
,Cancellieri,,ATT,Empoli,"11,0",,6,"6,31",34,4,0,0,0,0,2,7,0,0
,Toure' E.,,ATT,Atalanta,"10,0",,6,"6,56",9,2,0,0,0,0,0,2,0,0
,Isaksen,,ATT,Lazio,"10,0",,"6,07","6,46",23,3,0,0,0,0,1,3,0,0
,Yildiz,,ATT,Juventus,"10,0",,"6,05","6,29",21,2,0,0,0,0,0,3,0,0
,Krstovic,,ATT,Lecce,"10,0",,"5,91","6,3",33,7,0,0,3,1,1,4,1,0
,Correa,,ATT,Inter,"10,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Kouame',,ATT,Fiorentina,"10,0",,"5,95","6,3",20,2,0,0,0,0,1,0,0,0
,Lozano,,ATT,Napoli,"9,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Almqvist,,ATT,Lecce,"9,0",,"5,98","6,13",30,2,0,0,0,0,1,5,0,0
,Sansone,,ATT,Lecce,"8,0",,"6,02","6,3",22,2,0,0,0,0,2,4,0,0
,Lapadula,,ATT,Cagliari,"8,0",,"5,88","6,24",21,3,0,0,1,1,0,3,0,0
,Colombo,,ATT,Monza,"8,0",,"5,89","6,39",23,4,0,0,0,0,1,3,0,0
,Banda,,ATT,Lecce,"8,0",,"6,07","6,33",21,2,0,0,0,0,3,5,1,0
,Swiderski,,ATT,Verona,"8,0",,"6,08","6,54",13,2,0,0,0,0,0,0,0,0
,Pavoletti,,ATT,Cagliari,"7,0",,"6,25","7,04",14,4,0,0,0,0,1,4,0,0
,Defrel,,ATT,Sassuolo,"7,0",,"5,92","6,31",13,1,0,0,0,0,2,0,0,0
,Di Francesco F.,,ATT,Lecce,"7,0",,7,10,1,1,0,0,0,0,0,0,0,0
,Brekalo,,ATT,Fiorentina,"7,0",,"5,91","6,18",11,1,0,0,0,0,0,0,0,0
,Bonazzoli,,ATT,Verona,"7,0",,"5,89","6,3",22,3,0,0,0,0,1,2,0,0
,Simy,,ATT,Salernitana,"5,0",,6,"6,82",11,3,0,0,0,0,0,0,0,0
,Abraham,,ATT,Roma,"5,0",,"5,83","6,25",6,1,0,0,0,0,0,1,0,0
,Odgaard,,ATT,Bologna,"5,0",,"6,22",7,9,2,0,0,0,0,1,1,0,0
,Nzola,,ATT,Fiorentina,"5,0",,"5,74","6,09",29,3,0,0,1,1,2,2,0,0
,Cerri,,ATT,Empoli,"5,0",,"5,86","6,05",11,1,0,0,0,0,0,2,0,0
,Pedro,,ATT,Lazio,"5,0",,"5,92",6,26,1,0,0,0,0,1,4,0,0
,Caputo,,ATT,Empoli,"4,0",,"5,7","6,15",20,3,0,0,1,1,0,0,0,0
,Kaio Jorge,,ATT,Frosinone,"4,0",,"5,93","6,29",14,3,0,0,2,1,0,2,0,0
,Davis K.,,ATT,Udinese,"4,0",,"6,2","6,6",5,1,0,0,0,0,0,2,0,0
,Jovane,,ATT,Salernitana,"4,0",,"5,9","6,15",10,1,0,0,0,0,0,1,0,0
,Solbakken,,ATT,Roma,"3,0",,"5,5","5,5",1,0,0,0,0,0,0,0,0,0
,Maric,,ATT,Monza,"3,0",,"6,07","6,5",7,1,0,0,0,0,0,0,0,0
,Lasagna,,ATT,Verona,"3,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Pellegri,,ATT,Torino,"2,0",,"5,87","6,03",15,1,0,0,0,0,1,3,0,0
,Coda M.,,ATT,Genoa,"2,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Okereke,,ATT,Torino,"2,0",,"5,8","5,8",5,0,0,0,0,0,0,0,0,0
,Henry,,ATT,Verona,"2,0",,"5,91","6,32",11,3,0,0,1,0,0,2,1,0
,Pierotti,,ATT,Lecce,"2,0",,"6,07","6,21",7,0,0,0,0,0,1,0,0,0
,Castro S.,,ATT,Bologna,"2,0",,6,"6,5",5,1,0,0,0,0,0,1,0,0
,Weissman,,ATT,Salernitana,"1,0",,"5,73",6,11,1,0,0,0,0,0,0,0,0
,Petagna,,ATT,Cagliari,"1,0",,"5,8",6,15,1,0,0,0,0,1,2,0,0
,Kean,,ATT,Juventus,"1,0",,6,"5,93",14,0,0,0,0,0,0,2,0,0
,Karamoh,,ATT,Torino,"1,0",,"6,1","6,1",5,0,0,0,0,0,0,0,0,0
,Success,,ATT,Udinese,"1,0",,"5,84","5,82",19,1,0,0,1,0,1,4,0,0
,Cuni,,ATT,Frosinone,"1,0",,"5,94","6,28",9,1,0,0,0,0,0,0,0,0
,Ikwuemesi,,ATT,Salernitana,"1,0",,"5,67","5,8",23,1,0,0,0,0,1,2,0,0
,Simeone,,ATT,Napoli,"1,0",,"5,74","5,82",17,1,0,0,0,0,0,3,0,0
,Origi,,ATT,Milan,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Esposito Se.,,ATT,Inter,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Van Hooijdonk,,ATT,Bologna,"1,0",,"5,79","5,79",7,0,0,0,0,0,0,0,0,0
,Seck,,ATT,Frosinone,"1,0",,"5,93","5,89",14,0,0,0,0,0,0,1,0,0
,Brenner,,ATT,Udinese,"1,0",,"5,88","5,88",4,0,0,0,0,0,0,0,0,0
,Destro,,ATT,Empoli,"1,0",,"5,68","5,59",11,0,0,0,0,0,0,2,0,0
,Caprari,,ATT,Monza,"1,0",,"5,9","5,9",5,0,0,0,0,0,0,0,0,0
,Caso,,ATT,Frosinone,"1,0",,"5,95","5,95",11,0,0,0,0,0,1,2,0,0
,Botheim,,ATT,Salernitana,"1,0",,"5,3","5,2",5,0,0,0,0,0,0,1,0,0
,Mulattieri,,ATT,Sassuolo,"1,0",,"5,88","5,88",12,0,0,0,0,0,0,1,0,0
,Borrelli,,ATT,Frosinone,"1,0",,6,6,1,0,0,0,0,0,0,0,0,0
,Shpendi S.,,ATT,Empoli,"1,0",,"5,72","5,72",9,0,0,0,0,0,0,0,0,0
,Karlsson,,ATT,Bologna,"1,0",,"5,92","5,92",6,0,0,0,0,0,0,0,0,0
,Tavsan,,ATT,Verona,"1,0",,6,6,2,0,0,0,0,0,0,0,0,0
,Puscas,,ATT,Genoa,"1,0",,"5,33","5,33",3,0,0,0,0,0,0,0,0,0
,Deulofeu,,ATT,Udinese,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Latte Lath,,ATT,Atalanta,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Ake' M.,,ATT,Udinese,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Kokorin,,ATT,Fiorentina,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Braaf,,ATT,Verona,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Traore' C.,,ATT,Milan,"1,0",,7,10,1,1,0,0,0,0,0,0,0,0
,Raimondo,,ATT,Bologna,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Kallon,,ATT,Verona,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Ceide,,ATT,Sassuolo,"1,0",,"5,64","5,64",7,0,0,0,0,0,0,0,0,0
,Voelkerling Persson,,ATT,Lecce,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Valencia D.,,ATT,Salernitana,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Alvarez A.,,ATT,Sassuolo,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Rodriguez P.,,ATT,Lecce,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Ekong,,ATT,Empoli,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Vivaldo,,ATT,Udinese,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Kvernadze,,ATT,Frosinone,"1,0",,"5,75","5,75",2,0,0,0,0,0,0,0,0,0
,Bidaoui,,ATT,Frosinone,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Yalcin,,ATT,Genoa,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Diaw,,ATT,Monza,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Burnete,,ATT,Lecce,"1,0",,6,6,1,0,0,0,0,0,0,0,0,0
,Corfitzen,,ATT,Lecce,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Stewart,,ATT,Salernitana,"1,0",,"5,83","5,83",3,0,0,0,0,0,0,0,0,0
,Cruz,,ATT,Verona,"1,0",,"5,67","5,67",3,0,0,0,0,0,0,0,0,0
,Camarda,,ATT,Milan,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0
,Ghedjemis,,ATT,Frosinone,"1,0",,"6,2","6,1",5,0,0,0,0,0,0,1,0,0
,Ankeye,,ATT,Genoa,"1,0",,"5,75","5,75",2,0,0,0,0,0,0,0,0,0
,Kabic,,ATT,Torino,"1,0",,0,0,0,0,0,0,0,0,0,0,0,0