Nome,Cognome,Nazionalità,R,Squadra,Quotazioni,Anno di nascita,Mv,Fm,Partite giocate,Set giocati,Punti,Servizi totali,Errori in battuta,Ace,Ricezioni totali,Errori in ricezione,Perc. Ricezioni perfette,Attacchi totali,Errori attacchi,Attacchi murati,Attacchi vincenti,Muri totali,Invasione a muro,Muri vincenti
Ekaterina,Antropova,ITALY,OPP,Savino Del Bene Scandicci,"21,5",19/03/2003,0,0,24,88,498,370,83,60,4,0,0,370,74,52,391,55,0,47
Paola,Egonu,ITALY,OPP,Allianz Vero Volley Milano,25,18/12/1998,0,0,25,91,545,306,80,40,1,0,0,967,105,41,450,58,2,55
Isabelle,Haak,SWEDEN,OPP,Prosecco Doc Imoco Conegliano,18,11/07/1999,0,0,23,78,439,300,65,30,4,0,25,750,44,16,376,33,0,33
Camilla,Minigardi,ITALY,OPP,Megabox Ond. Savio Vallefoglia,18,19/10/1997,0,0,25,90,423,315,54,18,2,0,50,1100,68,75,381,62,6,24
Maja,Storck,SWITZERLAND,OPP,Wash4green Pinerolo,14,08/10/1998,0,0,26,77,226,217,42,13,1,0,0,533,43,58,201,28,2,12
Dana,Rettke,UNITED_STATES,CEN,Allianz Vero Volley Milano,"7,5",21/01/1999,0,0,19,66,166,218,19,17,9,0,"33,3",207,3,6,117,55,3,32
Anna,Danesi,ITALY,CEN,Igor Gorgonzola Novara,9,20/04/1996,0,0,23,79,190,335,37,11,7,0,"42,9",231,12,10,130,65,0,49
Marina,Lubian,ITALY,CEN,Prosecco Doc Imoco Conegliano,9,11/04/2000,0,0,17,58,170,222,53,34,8,1,50,201,10,14,106,50,0,30
Ana Carolina,Da Silva,BRAZIL,CEN,Savino Del Bene Scandicci,"7,5",08/04/1991,0,0,17,60,157,255,22,14,3,1,0,194,9,18,93,67,0,50
Britt,Herbots,BELGIUM,SCH,Savino Del Bene Scandicci,12,24/09/1999,0,0,25,82,213,301,35,13,389,27,"36,2",470,23,22,189,20,0,11
Kelsey,Robinson-Cook,UNITED_STATES,SCH,Prosecco Doc Imoco Conegliano,"10,5",25/06/1992,0,0,22,68,219,212,21,18,276,18,"41,3",408,27,28,186,16,0,15
Helena,Cazaute,FRANCE,SCH,Allianz Vero Volley Milano,9,17/12/1997,0,0,21,71,148,204,29,20,307,21,"38,8",303,14,30,118,10,0,10
Caterina,Bosetti,ITALY,SCH,Igor Gorgonzola Novara,13,02/02/1994,0,0,22,78,240,338,22,23,451,38,"39,5",517,37,46,197,30,1,20
Sara,Panetoni,ITALY,LIB,Megabox Ond. Savio Vallefoglia,14,06/05/2000,0,0,26,94,0,0,0,0,467,34,"40,9",0,0,0,0,0,0,0
Beatrice,Parrocchiale,ITALY,LIB,Savino Del Bene Scandicci,"10,5",26/12/1995,0,0,24,88,0,0,0,0,442,40,"35,3",0,0,0,0,0,0,0
Giorgia,Zannoni,ITALY,LIB,Uyba Volley Busto Arsizio,12,11/02/1998,0,0,26,97,0,0,0,0,430,47,"38,1",0,0,0,0,0,0,0
Micha Danille,Hancock,UNITED_STATES,PAL,Trasportipesanti Casalmaggiore,10,10/11/1992,0,0,25,93,85,349,48,32,6,3,0,103,6,8,42,33,1,11
Alessia,Orro,ITALY,PAL,Allianz Vero Volley Milano,"8,5",18/07/1998,0,0,23,89,81,365,39,20,5,1,0,87,3,4,44,24,2,17
Joanna,Wolosz,POLAND,PAL,Prosecco Doc Imoco Conegliano,6,07/04/1990,0,0,23,75,51,283,7,18,2,0,0,33,2,1,18,15,0,15
Ilaria,Battistoni,ITALY,PAL,Il Bisonte Firenze,"4,5",22/04/1996,0,0,25,91,30,289,26,14,4,1,0,15,2,1,3,20,0,13